Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"18,500 EUR",Volkswagen,Polo,"68,303 km",2019,Petrol,Hatchback,Orange,Genk,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-polo-essence-0524597/,1.0 TSI DSG,6
"25,900 EUR",Peugeot,Rcz,"85,564 km",2015,Petrol,Coupe,Black,Halen,201 kW (273 HP),Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-rcz-essence-0351143/,1.6 THP,6
"17,900 EUR",Volkswagen,Polo,"19,000 km",2019,Petrol,Hatchback,Gray,Genk,70 kW (95 HP),Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/polo/volkswagen-polo-vente-505930?,1.0 tsi,6
"114,890 EUR",Audi,Sq7,611 km,2022,Diesel,Suv,Black,Turnhout,378 kW (514 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-sq7-essence-0549784/,4.0,
"69,900 EUR",Bmw,Ix3,"14,329 km",2022,Electric,Suv,Gray,Lier,212 kW (288 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix3-electrique-0548691/,,6
"25,990 EUR",Volkswagen,Sharan,"85,492 km",2017,Diesel,Van,Black,Arlon,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9434243--volkswagen-highline-7-places-boite-auto-cuir-xenon-full/tweedehands.html,2.0 TDI,6
"71,980 EUR",Audi,Rs3,"2,272 km",2024,Petrol,Hatchback,Black,Tournai,298 kW (405 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/rs3/audi-rs3-2024-vente-555756?,,6
"32,990 EUR",Seat,Ateca,"20,529 km",2022,Petrol,Suv,Black,Wevelgem,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/seat-ateca-essence-0522910/,1.5,6
"45,950 EUR",Bmw,X5,"161,520 km",2019,Diesel,Suv,Gray,Sint Truiden,192 kW (261 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/x5/bmw-x5-2019-vente-502590?,,6
"52,900 EUR",Bmw,M2,"25,678 km",2020,Petrol,Coupe,Black,Landen,305 kW (415 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/serie-m-m2/bmw-serie-m-m2-2020-vente-530145?,,6
"34,950 EUR",Mazda,Cx-5,"6,496 km",2023,Petrol,Crossover,White,Sint Truiden,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0555846/,2.0,6
"20,990 EUR",Opel,Astra,"80,557 km",2019,Petrol,Wagon,Gray,Sint Gillis Waas,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/opel-astra-essence-0149217/,1.4 D,
"76,900 EUR",Bmw,X5,"8,089 km",2022,Petrol,Suv,Blue,Lier,248 kW (337 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-essence-0397692/,,6
"14,739 EUR",Peugeot,2008,"57,101 km",2019,Petrol,Crossover,White,Marche En Famenne,96 kW (131 HP),Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-2008-essence-0552482/,1.2 vti,6
"23,995 EUR",Volvo,V60,"90,417 km",2019,Diesel,Wagon,Gray,Brugge,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9452660--volvo-2-0-d3-geartronic-leder-navi-perfect-onderho/tweedehands.html,2.0,9
"23,950 EUR",Volvo,V60,"75,734 km",2019,Diesel,Wagon,Silver,Rotselaar,111 kW (151 HP),Manual,https://www.vroom.be/fr/voitures-occasion/volvo-v60-diesel-0558955/,2.0 D3,
"47,907 EUR",Ford,Ranger,5 km,1996,Diesel,Pickup,Orange,Izegem,152 kW (207 HP),Automatic,https://www.autogids.be/detail-id--9450541--ford-dc-wildtrak-2-0biturbo-205pk-a10-automaat/tweedehands.html,2.0,8
"69,950 EUR",Porsche,Macan,"13,032 km",2022,Petrol,Suv,Black,Kortrijk,197 kW (268 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0556415/,2.0,
"24,490 EUR",Volkswagen,Passat,"52,614 km",2021,Diesel,Wagon,White,Zaventem,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/passat-variant/volkswagen-passat-variant-2021-vente-555341?,2.0,6
"23,500 EUR",Audi,Q2,"86,589 km",2018,Petrol,Crossover,White,Hasselt,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0543528/,1.4 TFSI,6
"99,950 EUR",Bmw,X7,"16,023 km",2022,Diesel,Suv,Black,Lommel,253 kW (344 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/serie-x-x7/bmw-serie-x-x7-2022-vente-553811?,,6
"22,690 EUR",Renault,Megane,"65,949 km",2022,Petrol,Wagon,Gray,Halen,104 kW (141 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/renault-megane-essence-0474392/,1.3,6
"92,890 EUR",Maserati,Levante,"11,892 km",2021,Petrol,Suv,Gray,Turnhout,320 kW (435 HP),Automatic,https://www.autogids.be/detail-id--9462831--maserati-modena-s-430pk-pano-acc-camera-leder/tweedehands.html,3.0 s,
"38,990 EUR",Audi,A6,"64,885 km",2019,Diesel,Wagon,Black,Sint Niklaas,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a6-diesel-0534953/,2.0 TDI,6
"24,450 EUR",Nissan,X-Trail,"66,448 km",2020,Diesel,Suv,Blue,Turnhout,111 kW (151 HP),Manual,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-diesel-0449504/,1.7,6
"25,950 EUR",Bmw,X1,"58,473 km",2021,Diesel,Suv,White,Lennik,86 kW (117 HP),Automatic,https://www.autogids.be/detail-id--9449858--bmw-1-5-da-sdrive16-adblue-eu6ap-leder-pano-dak/tweedehands.html,16d,6
"36,495 EUR",Ford,Ranger,"42,901 km",2021,Diesel,Pickup,Silver,Tielt,158 kW (215 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-ranger-diesel-0547142/,2.0,6
"15,490 EUR",Audi,A4,"129,066 km",2015,Diesel,Sedan,Black,Sint Niklaas,136 kW (185 HP),Manual,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0534906/,2.0,6
"29,990 EUR",Audi,A3,"30,132 km",2023,Petrol,Sedan,Blue,Tienen,82 kW (112 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-532574?,1.0 30 TFSI,6
"28,990 EUR",Audi,A3,"19,536 km",2023,Petrol,Sedan,Gray,Tongeren,82 kW (112 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-552194?,1.0 30 TFSI,6
"47,900 EUR",Mercedes Benz,C-Class,"24,401 km",2022,Diesel,Wagon,Gray,Hannut,149 kW (203 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/c-220/mercedes-benz-c-220-2022-vente-533827?,220,
"12,999 EUR",Bmw,5 Series,"189,000 km",2013,Diesel,Sedan,Black,Farciennes,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0558964/,2.0 520d,
"144,990 EUR",Mercedes Benz,Sl-Class,"7,408 km",2023,Petrol,Convertible,Gray,Huy,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-sl-55-amg-essence-0538088/,4.0 AMG 55,
"23,799 EUR",Opel,Mokka,"6,621 km",2021,Petrol,Crossover,Gray,Erpe Mere,97 kW (132 HP),Manual,https://www.vroom.be/fr/voitures-occasion/opel-mokka-essence-0492923/,1.2,6
"29,990 EUR",Audi,A3,"39,474 km",2022,Petrol,Sedan,Gray,Overpelt,82 kW (112 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0524006/,1.0 30 TFSI,6
"33,990 EUR",Audi,A3,"16,132 km",2022,Petrol,Sedan,Blue,Tienen,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0537664/,1.5 35 TFSI,6
"24,990 EUR",Peugeot,3008,"30,901 km",2019,Petrol,Crossover,Red,Arlon,96 kW (131 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-3008-essence-0560337/,1.2,6
"48,500 EUR",Audi,Q5,"53,874 km",2021,Diesel,Suv,Black,Tongeren,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0558212/,2.0,6
"66,380 EUR",Bmw,Ix,"8,948 km",2021,Electric,Suv,Gray,Turnhout,243 kW (330 HP),Automatic,https://www.autogids.be/detail-id--9464272--bmw-hud-harman-kardon-side-assist-pano/tweedehands.html,,
"35,990 EUR",Audi,A3,"7,772 km",2023,Petrol,Sedan,Blue,Genk,82 kW (112 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-551670?,1.0,6
"94,990 EUR",Land Rover,Defender,"2,896 km",2022,Diesel,Suv,Black,Merelbeke,186 kW (253 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-defender-diesel-0506725/,3.0,6
"84,990 EUR",Land Rover,Defender,"1,500 km",2022,Diesel,Suv,Black,Merelbeke,186 kW (253 HP),Automatic,https://www.autogids.be/detail-id--9457411--land-rover-110-d250-se-awd-aut/tweedehands.html,3.0,
"16,490 EUR",Seat,Ateca,"94,714 km",2019,Petrol,Suv,Black,Herstal,86 kW (117 HP),Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/seat/ateca/seat-ateca-2019-vente-531654?,1.0,6
"28,990 EUR",Citroen,C5 Aircross,"32,389 km",2022,Petrol,Suv,Black,Malmedy,97 kW (132 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/citroen/c5-aircross/citroen-c5-aircross-2022-vente-529674?,1.2,6
"30,900 EUR",Bmw,I3,"14,514 km",2022,Electric,Hatchback,Brown,Lier,126 kW (171 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-i3-electrique-0473181/,0.6,6
"47,995 EUR",Audi,Q4,"17,076 km",2022,Electric,Crossover,Blue,Brugge,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q4-electrique-0556241/,,9
"21,950 EUR",Abarth,595,"19,260 km",2020,Petrol,Coupe,Yellow,Izegem,121 kW (165 HP),Manual,https://www.vroom.be/fr/voitures-occasion/abarth-595-turismo-essence-0547791/,1.4 turismo,6
"39,990 EUR",Mercedes Benz,C-Class,"51,751 km",2020,Diesel,Coupe,Gray,Huy,119 kW (162 HP),Automatic,https://www.autogids.be/detail-id--9395812--mercedes-benz-d-coupe-amg-line-premium/tweedehands.html,200,
"34,950 EUR",Mercedes Benz,C-Class,"34,012 km",2020,Diesel,Wagon,Blue,Torhout,144 kW (196 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-220-diesel-0430502/,,6
"79,900 EUR",Mercedes Benz,Eqe,"37,390 km",2022,Electric,Sedan,White,Hannut,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-43-electrique-0549702/,,
"65,990 EUR",Mercedes Benz,Eqe,"21,141 km",2022,Electric,Sedan,White,Huy,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0532654/,350,
"66,990 EUR",Mercedes Benz,Eqe,"12,418 km",2022,Electric,Sedan,White,Huy,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0532636/,350,
"93,500 EUR",Mercedes Benz,Eqe,10 km,2024,Electric,Sedan,Gray,Huy,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mercedes-benz-eqe-electrique-0543451/,,
"93,500 EUR",Mercedes Benz,Eqe,10 km,2023,Electric,Sedan,Gray,Huy,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mercedes-benz-eqe-electrique-0482420/,,
"33,990 EUR",Bmw,2 Series,"21,891 km",2021,Petrol,Sedan,Black,Gembloux,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-218-essence-0444404/,,6
"27,500 EUR",Audi,A5,"67,819 km",2018,Diesel,Sedan,Black,Overpelt,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0523990/,2.0,6
"19,990 EUR",Ford,Ecosport,"30,235 km",2020,Petrol,Suv,Gray,Rotselaar,93 kW (126 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-ecosport-essence-0556432/,1.0,9
"139,900 EUR",Audi,Rs6,"3,900 km",2021,Petrol,Wagon,Red,Brugge,447 kW (608 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs6-essence-0559676/,4.0,6
"41,500 EUR",Audi,Q3,"13,512 km",2023,Petrol,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0551966/,1.5,6
"36,500 EUR",Bmw,X2,"8,664 km",2023,Petrol,Suv,Gray,Ninove,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x2-essence-0553360/,,6
"52,990 EUR",Audi,Q5,32 km,2023,Diesel,Suv,Gray,Overpelt,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-q5-diesel-0546903/,2.0,6
"37,499 EUR",Mazda,Mx-30,"5,000 km",2024,Electric,Crossover,Black,Halen,126 kW (171 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-mx-30-hybride-essence-0527097/,,6
"36,850 EUR",Volvo,Xc90,"178,878 km",2017,Petrol,Suv,Black,Roosdaal,239 kW (325 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-xc90-essence-0555243/,2.0,
"24,999 EUR",Mercedes Benz,Gla-Class,"72,800 km",2018,Petrol,Suv,Gray,Zwevegem,157 kW (214 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-gla-250-essence-0543758/,250,6
"26,900 EUR",Land Rover,Discovery Sport,"99,876 km",2019,Diesel,Suv,Gray,Beveren,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-sport-diesel-0535226/,2.0,6
"22,650 EUR",Land Rover,Discovery Sport,"55,342 km",2019,Diesel,Suv,White,Turnhout,111 kW (151 HP),Manual,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-sport-diesel-0392638/,2.0,6
"61,950 EUR",Bmw,X6,"92,162 km",2020,Diesel,Suv,Gray,Bastogne,157 kW (214 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x6-diesel-0531436/,,6
"25,995 EUR",Peugeot,5008,"55,111 km",2021,Diesel,Mpv,Silver,Brugge,97 kW (132 HP),Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0538443/,1.5,8
"33,450 EUR",Peugeot,5008,"39,355 km",2021,Diesel,Mpv,Blue,Jabbeke,96 kW (131 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0503137/,1.5,6
"28,980 EUR",Peugeot,5008,"29,729 km",2021,Petrol,Mpv,Blue,Ath,96 kW (131 HP),Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/peugeot/5008/peugeot-5008-2021-vente-531721?,1.2,
"24,990 EUR",Bmw,2 Series,"82,500 km",2020,Petrol,Hatchback,Blue,Eupen,104 kW (141 HP),Manual,https://www.vroom.be/fr/voitures-occasion/bmw-218-essence-0560210/,,6
"48,950 EUR",Land Rover,Range Rover Velar,"59,475 km",2020,Petrol,Suv,Black,Asse,186 kW (253 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-velar-essence-0557627/,2.0,6
"109,999 EUR",Porsche,Taycan,"9,244 km",2023,Electric,Sedan,Gray,Wommelgem,284 kW (386 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0558251/,,6
"101,390 EUR",Porsche,Taycan,"4,351 km",2023,Electric,Sedan,Black,Turnhout,284 kW (386 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0510208/,,
"113,890 EUR",Porsche,Taycan,"3,121 km",2023,Electric,Sedan,Black,Turnhout,284 kW (386 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0493567/,,
"22,916 EUR",Volvo,V40,"49,397 km",2018,Petrol,Wagon,Gray,Rotselaar,90 kW (122 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-v40-essence-0422955/,1.5,6
"28,250 EUR",Jeep,Compass,"32,765 km",2022,Diesel,Crossover,Blue,Roeselare,97 kW (132 HP),Manual,https://www.vroom.be/fr/voitures-occasion/jeep-compass-diesel-0555919/,1.6,6
"21,995 EUR",Mercedes Benz,A-Class,"89,046 km",2020,Diesel,Sedan,Gray,Brugge,85 kW (116 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/a-180/mercedes-benz-a-180-vente-511075?,,9
"40,000 EUR",Toyota,Bz4x,"21,085 km",2023,Electric,Suv,Gray,Ieper,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/toyota-bz4x-electrique-0531907/,,6
"29,975 EUR",Ford,Galaxy,"87,515 km",2018,Diesel,Mpv,Black,Izegem,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-diesel-0221886/,2.0,6
"88,450 EUR",Ford,Mustang,"1,200 km",2023,Petrol,Coupe,Blue,Machelen,378 kW (514 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-mustang-essence-0554996/,5.0,8
"64,500 EUR",Bmw,Ix,"14,737 km",2022,Electric,Suv,Black,Spiere Helkijn,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix-electrique-0508526/,,
"64,500 EUR",Bmw,Ix,"13,218 km",2022,Electric,Suv,Black,Spiere Helkijn,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix-electrique-0508525/,,
"20,750 EUR",Peugeot,208,"22,753 km",2022,Petrol,Wagon,Gray,Knokke Heist,75 kW (102 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-208-essence-0559160/,1.2,8
"16,480 EUR",Renault,Kadjar,"81,101 km",2019,Diesel,Suv,Black,Ath,86 kW (117 HP),Manual,https://www.autogids.be/detail-id--9393314--renault-intens/tweedehands.html,1.5,6
"17,450 EUR",Renault,Kadjar,"72,037 km",2019,Petrol,Suv,Silver,Turnhout,105 kW (143 HP),Manual,https://www.vroom.be/fr/voitures-occasion/renault-kadjar-essence-0441956/,1.3,6
"36,999 EUR",Volkswagen,Tiguan,"49,410 km",2021,Petrol,Crossover,Black,Aarschot,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-tiguan-essence-0523345/,1.5,6
"14,990 EUR",Bmw,2 Series,"140,173 km",2016,Petrol,Hatchback,Black,Halen,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-218-essence-0508866/,,6
